competitor,country,timestamp,text_content,media_count,media_urls,cta_button,link_url,performance_score,engagement_metrics,ad_details
AG1,GLOBAL,2025-07-17T02:59:45.204974,"AG1 by Athletic Greens
Sponsored
‼️Tired of the Supplement Guessing Game? Here's a Smarter Choice‼️

Navigating the supplement aisle can be overwhelming, with countless powders, pills, and gummies making bold claims without solid backing. 
AG1 Next Gen simplifies your routine with a foundational daily supplement grounded in science.

💚 Clinically shown to help close nutrient gaps
🦠 Five upgraded probiotic strains to support gut health
⚡ Contains more absorbable forms of key nutrients
🥄 Just one scoop a day—no pills, no guesswork

Formulated with 75+ ingredients, AG1 Next Gen offers a clinically-backed approach to cover your nutritional bases,especially when dietary intake is reduced.
""AG1 is the best on the market. You can’t find another company that puts this much effort into continuously improving their product."" – Brandon W. ⭐️⭐️⭐️⭐️⭐️

† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. Please visit the AG1 website for additional information.
0:00 / 0:42
Try This Clinically Backed Daily Routine
50k verified 5-star reviews for AG1 products
Shop Now",2,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.35426-6/513825684_1102355048491751_6591171413134212674_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=loNC13GUcm8Q7kNvwEVCjV2&_nc_oc=AdkX5b67nffYnvcDrfB7HBgMRgarfFdHhuXGhMc_QLKZS2ZxYBPICtdgqfH7f4eSbuDIUF7V7rNdf2lgp8njuCQH&_nc_zt=14&_nc_ht=scontent.fkul8-3.fna&_nc_gid=0FSFvcJm-P7uutgyYv74Xw&oh=00_AfThDFManQYZOKdwP4G7IMotwz7ez7IZtT93MaE2xzWjWw&oe=687DDAD8|https://video.fkul8-3.fna.fbcdn.net/v/t42.1790-2/514380673_1155893653222105_5710926670834983082_n.mp4?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=hJT84PtnPLEQ7kNvwGq89V7&_nc_oc=AdlpQg34d8TxSZLj1v7PntwYiQIQTdbcHxNLkpsDQmsQIHA8DvPv7nw3gopEYHh0NAqKCergX5jljDBGXwPsuxBh&_nc_zt=28&_nc_ht=video.fkul8-3.fna&_nc_gid=0FSFvcJm-P7uutgyYv74Xw&oh=00_AfQSuFuKjBc8NDLkg8uBvPjxfn3Td4fHZEw-NtFpqSnKhA&oe=687DC421,,,246.2,{},{}
AG1,GLOBAL,2025-07-17T02:59:45.126765,"dan_churchill
with
AG1 by Athletic Greens
Sponsored
Feeling off your game? AG1 Next Gen helps support steady energy and focus from the first tee to the final putt — thanks to bioavailable nutrients and essential B vitamins, backed by clinical research.

⚡ Steady energy, no mid-round crash
⛳ Clinically shown to help fill key nutrient gaps†
🥄 One scoop replaces a cluttered supplement routine
🏌️‍♂️ Lightweight, easy to travel with on tournament days or golf trips

Subscribe today and get:
✔️ 5 FREE Travel Packs
✔️ FREE Vitamin D3+K2 Drops
✔️ FREE Canister + Shaker

† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. For more information, visit our website.
0:00 / 0:34
Fuel Every Round. Backed by Science.
Trusted by 50,000+ verified 5-star reviewers
Shop Now",2,https://scontent.cdninstagram.com/v/t51.2885-19/419294587_342834138581011_3765640662355628629_n.jpg?stp=dst-jpg_s206x206_tt6&_nc_cat=100&ccb=1-7&_nc_sid=525117&_nc_ohc=hHoyWF513cUQ7kNvwGFNU2x&_nc_oc=Adky66cLZ6n5I5aRmgQHnYQNre4mb5rfJBGFSyGroeVULOC7VB9UOO16HYIDR6nNoMXW4b3pYXf7bTk_Rkyi2bPa&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfQzi9_De2d9SKoZNw6U8IDjL87sqZexpJkFZRPyxKneEQ&oe=687DD0E1|https://video.fkul8-5.fna.fbcdn.net/v/t42.1790-2/510602866_2181238432306233_8565528569281176596_n.mp4?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=xdivC17IR0YQ7kNvwEE_B21&_nc_oc=AdlsFNRUkBYtSHq6qEEI5ZOV0oxHipFtbhbcPqjDDaI9qvOfXCUK4uyIl-_v_-LBBc2DlZXW6sOHMsHNJ1Zohwge&_nc_zt=28&_nc_ht=video.fkul8-5.fna&_nc_gid=0FSFvcJm-P7uutgyYv74Xw&oh=00_AfQtf92_TFl4q_mTxo6rI9kWtvmx8LAbsMo1Djlg5YcJJw&oe=687DAE58,,,185.6,{},{}
AG1,GLOBAL,2025-07-17T02:59:43.043168,"Costconew
with
AG1 by Athletic Greens
Sponsored
Tried a sample of @drinkag1 at Costco today and… WOW. This green drink is packed with 75 vitamins, minerals, probiotics, and superfoods everything I’ve been trying to take separately, now in just one scoop 🙌💚 It’s a once-a-day drink that helps support energy, digestion, and overall wellness and I genuinely loved how easy it was to mix and drink. The best part? This 40-count Travel Pack is available only at Costco and it’s such a great value.If you’ve been curious about AG1 or looking for a way to simplify your supplement routine, this is it. I grabbed one right after sampling and it’s now part of my daily routine!
📍Available now in select Costco warehouses nationwide 🛒 Check your local store and don’t wait this one’s going fast!

#ad #AG1atCostco #CostcoFinds #AG1Daily #CostcoHaul #WellnessMadeEasy
0:00 / 0:28",2,https://scontent.fkul8-1.fna.fbcdn.net/v/t39.35426-6/518386033_1406523857069744_8120517580855243968_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=QM9KD0Vcuq8Q7kNvwHWJPPX&_nc_oc=Adls6gT1FRUEh156aOW_d-f1Q97mqrgEmz50zAWzBijJ5ypjPpl7sPWdRW6k9Wu6djR-dcWTkZ0c-X-GzEipeyZC&_nc_zt=14&_nc_ht=scontent.fkul8-1.fna&_nc_gid=2OsJHGundpxgfH6jpZ5eIQ&oh=00_AfQK1d3aUlttKBvLiK-PxtbcCvq_GQX2ZjNdZpyHNf0byg&oe=687DC10D|https://video.fkul8-3.fna.fbcdn.net/v/t42.1790-2/517450634_1092470672810064_9025263136823214552_n.?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=IV8vg8t3lK4Q7kNvwFN421y&_nc_oc=Adl-du4tWC9YY2Kg-9hXcX7vjXTGWF2TxsxjiwnipCWFXR4uomRZtNkxusyAX8mgYu6vTsPu9AMnwJlS-KqZKy5N&_nc_zt=28&_nc_ht=video.fkul8-3.fna&_nc_gid=2OsJHGundpxgfH6jpZ5eIQ&oh=00_AfQBz6At1y5PnmD5yRUJoQWBHc_W_ZZHko0mLvJDWEpzTQ&oe=687DDB39,,,183.8,{},{}
AG1,GLOBAL,2025-07-17T02:59:45.540078,"AG1 by Athletic Greens
Sponsored
🚨 The Next Generation of AG1 is HERE 🚨
Most supplements aren't clinically-backed, but AG1 Next Gen is.

Backed by four human clinical trials, this new formula raises the standard with upgraded vitamins, minerals, and probiotics.

💚 Clinically shown to fill nutrient gaps
🦠 Upgraded probiotic strains for gut support
⚡ Bioavailable nutrients your body can absorb
🥄 Still one scoop, once a day

Get started today & unlock:
✔️ 5 FREE Next Gen Travel Packs
✔️ FREE Bottle Vitamin D3+K2 Drops
✔️ FREE Welcome Kit + Shaker

† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. For more information, visit our website.
0:00 / 0:06
Welcome to the Next Gen of Wellness
50k verified 5-star reviews for AG1 products
Get Offer",2,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.35426-6/514717567_1660091148038032_4569703525326723270_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=zUc0OosdCncQ7kNvwEBkUDy&_nc_oc=Adly9cOdl_DUJVGO3zmvt9C944ZzECx0tBFhA7Otdgsrn077KC1BOqW4F1A904u4kLnDg5zEtQC8-QKmrX36LFRn&_nc_zt=14&_nc_ht=scontent.fkul8-3.fna&_nc_gid=u5876W99JkoFjiT4XQkUBg&oh=00_AfRkbWaDCCmJ2D9sJdW1pc4pJy69pCER4G1ovnav9Wq7vg&oe=687DD95E|https://video.fkul8-1.fna.fbcdn.net/v/t42.1790-2/514138099_1063638088661124_8531498766337466468_n.mp4?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=89Y0ituYq64Q7kNvwH4wj1W&_nc_oc=Adl_RCTbfUCVb8VEo81OisPepp6jFrxZ6Az54khEY8lb8XFOTkl7jlStTFSXIAvVTaj8_i5_uZDpZnKUrD7SYnTs&_nc_zt=28&_nc_ht=video.fkul8-1.fna&_nc_gid=u5876W99JkoFjiT4XQkUBg&oh=00_AfQupJeaOI21TdVrTXFXf_3Fz4XJERvbRgWnodKqngXRWw&oe=687DC053,,,182.0,{},{}
AG1,GLOBAL,2025-07-17T02:59:45.591831,"AG1 by Athletic Greens
Sponsored
🚨 The Next Generation of AG1 is HERE 🚨
Most supplements aren't clinically-backed, but AG1 Next Gen is.

Backed by four human clinical trials, this new formula raises the standard with upgraded vitamins, minerals, and probiotics.

💚 Clinically shown to fill nutrient gaps
🦠 Upgraded probiotic strains for gut support
⚡ Bioavailable nutrients your body can absorb
🥄 Still one scoop, once a day

Get started today & unlock:
✔️ 5 FREE Next Gen Travel Packs
✔️ FREE Bottle Vitamin D3+K2 Drops
✔️ FREE Welcome Kit + Shaker

† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. For more information, visit our website.
0:00 / 0:06
Welcome to the Next Gen of Wellness
50k verified 5-star reviews for AG1 products
Get Offer",2,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.35426-6/515508557_1034284168814232_1334989000431322746_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Y_DUihXh8NYQ7kNvwHD1aHT&_nc_oc=AdkoWO6Yr7WL_wKGLMWmwICZvv6b2P0NyptpFL-b9ZUK5y_ys1vyAJnqu3eo8FYYJ6lKLIj5WLrjWEmQfhMYR46q&_nc_zt=14&_nc_ht=scontent.fkul8-3.fna&_nc_gid=u5876W99JkoFjiT4XQkUBg&oh=00_AfSpdaDWsEq_fYg1A_VPQofgHCMDxWiRDEVL9FjTDq832Q&oe=687DC201|https://video.fkul8-2.fna.fbcdn.net/v/t42.1790-2/515496000_1071589951166034_6832936932425073712_n.mp4?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=_v7EHyL7f3kQ7kNvwHN-yG5&_nc_oc=AdnrmauavkRCCEaZrjmSVVZfyy7KH9aXAULBzMhIuAz1Tp3-xHiVVS_6U9exyRH-X4h_F5ozS0MgcaRCyJWs_ARp&_nc_zt=28&_nc_ht=video.fkul8-2.fna&_nc_gid=u5876W99JkoFjiT4XQkUBg&oh=00_AfTWjfiFs7nPBviLNGZpDfzlyAEog5kbBeZLwqO_da-KCw&oe=687DD8FF,,,182.0,{},{}
AG1,GLOBAL,2025-07-17T02:59:43.128696,"AG1 by Athletic Greens
Sponsored
Feeling off your game? AG1 Next Gen helps support steady energy and focus from the first tee to the final putt — thanks to bioavailable nutrients and essential B vitamins, backed by clinical research.

⚡ Steady energy, no mid-round crash
⛳ Clinically shown to help fill key nutrient gaps†
🥄 One scoop replaces a cluttered supplement routine
🏌️‍♂️ Lightweight, easy to travel with on tournament days or golf trips

Subscribe today and get:
✔️ 5 FREE Travel Packs
✔️ FREE Vitamin D3+K2 Drops
✔️ FREE Canister + Shaker

† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. For more information, visit our website.
0:00 / 0:34
Fuel Every Round. Backed by Science.
Trusted by 50,000+ verified 5-star reviewers
Shop Now",2,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.35426-6/518739704_24368681689423984_8034529574791615715_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=D3EziPDF4rkQ7kNvwH-xGpP&_nc_oc=AdnbFygrNcEswBKYMn4AEgmx6s31ot0mXenyQ8VHaMUHUGeUklUMZAewXRWd2pzfPPQcchwN3JaauO__0x0Aft8N&_nc_zt=14&_nc_ht=scontent.fkul8-3.fna&_nc_gid=2OsJHGundpxgfH6jpZ5eIQ&oh=00_AfRFWijffkUNiNVhNsjei7cTHdbzfXUBVLl4KzJR5dC0og&oe=687DBDFC|https://video.fkul8-4.fna.fbcdn.net/v/t42.1790-2/508882853_2500222873669870_6598789493292406366_n.mp4?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=HYLF7F9n04AQ7kNvwEfzrxx&_nc_oc=Admucj4Xjpz_TTrwDPjFSk30XX7VQTVdSjjbnwe3m7SuYqnaM5BdVxpTNkme8Xh-Ru9UsR22Lhpeu24CjwSDHjBA&_nc_zt=28&_nc_ht=video.fkul8-4.fna&_nc_gid=2OsJHGundpxgfH6jpZ5eIQ&oh=00_AfTg1n697MpeKkdpnyy9RbkyqgiEatKVrx5IBFQhuOgkWw&oe=687DCD72,,,181.8,{},{}
AG1,GLOBAL,2025-07-17T02:59:45.032534,"AG1 by Athletic Greens
Sponsored
Feeling off your game? AG1 Next Gen helps support steady energy and focus from the first tee to the final putt — thanks to bioavailable nutrients and essential B vitamins, backed by clinical research.

⚡ Steady energy, no mid-round crash
⛳ Clinically shown to help fill key nutrient gaps†
🥄 One scoop replaces a cluttered supplement routine
🏌️‍♂️ Lightweight, easy to travel with on tournament days or golf trips

Subscribe today and get:
✔️ 5 FREE Travel Packs
✔️ FREE Vitamin D3+K2 Drops
✔️ FREE Canister + Shaker


† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. For more information, visit our website.
Fuel Every Round. Backed by Science.
Trusted by 50,000+ verified 5-star reviewers
Get Offer",2,https://scontent.fkul8-5.fna.fbcdn.net/v/t39.35426-6/518272096_1267287604777375_807305545185717646_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=UgbOoSiXDbUQ7kNvwH2H3uR&_nc_oc=AdmqsMC_lH3ckdQYBKkuM2mNhyGOXm89lqzwevmXgwpkWUCFiOIsveoBrYRVQtIm8gnC3oUKU8-augKYcJP3xcKR&_nc_zt=14&_nc_ht=scontent.fkul8-5.fna&_nc_gid=mRCsVzndYAjRIvDrppGF0w&oh=00_AfTKOD3eAm2pfedyrILFiEMrKtwgPCqU8791UOfff7Qx6Q&oe=687DB357|https://scontent.fkul8-3.fna.fbcdn.net/v/t39.35426-6/518354767_1686554438713283_7944406880155154416_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=BJMBQqHKNQ0Q7kNvwHb2GRn&_nc_oc=AdkxQJNkn574mg9OpuHTHV5_RBDip8KD1sjYWGjKnWJIlo58zB4kQn_wrfEh2jMTVrqQ_Do5cv42Xq7GUJCcYNxm&_nc_zt=14&_nc_ht=scontent.fkul8-3.fna&_nc_gid=mRCsVzndYAjRIvDrppGF0w&oh=00_AfQ5sf73IBdhRrtiXSHbKGtXhCLMkOGJNLDehnJ8o4pJ_Q&oe=687DAFC5,,,179.8,{},{}
AG1,GLOBAL,2025-07-17T02:59:45.166020,"AG1 by Athletic Greens
Sponsored
Bereit, jeden Tag alles zu geben? AG1 unterstützt dich dabei.

AG1 ist ein kraftvoller Nährstoff-Boost, der wirkt.* Wissenschaftlich getestet. 🧑‍🔬🔬 

Mit:
💚 Vitaminen
💚 Mineralstoffen
💚 Bakterienkulturen
💚 Ballaststoffen und Enzymen
💚 Hochwertigen Pilzen
💚 Natürlichen Pflanzenstoffen

Was, wenn du keinen Unterschied merkst?? Dann nutze ganz unkompliziert unsere Geld-zurück-Garantie (gültig innerhalb von 30 Tagen ab Bestellung). 🙏 So einfach.
Nur für kurze Zeit: Dein AG1 Willkommens-Kit im Abo –
mit GRATIS:
🔥 Shaker
🔥 Edelstahldose
🔥 Messlöffel
🔥 10 Travel Packs für unterwegs

Auf dich und dein Potenzial, alles zu geben! 💯💪

Schnapp’ dir jetzt dein gratis Willkommens-Kit im AG1 Abo! 📦 👀
0:00 / 0:31
AG1: Erforscht, getestet, bestätigt! ✅
Order Now",2,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.35426-6/518300553_2282078378904726_991051699375231366_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=O13f4WPKXuUQ7kNvwECSG_e&_nc_oc=Adm4zN7WlAye81g5TD3MpHZSDyIeCYQhtjCksjn677twzERVilkkkTuzbEJFvz_h4Xe62aL-WNnQo9j-1Zi4Jo5h&_nc_zt=14&_nc_ht=scontent.fkul8-2.fna&_nc_gid=0FSFvcJm-P7uutgyYv74Xw&oh=00_AfRPBe_ZcBuK_QWBHMKyf3xrrWYOcE9AzP6hFlbhkXzIqQ&oe=687DDADD|https://video.fkul8-2.fna.fbcdn.net/v/t42.1790-2/516378289_4136637026608623_333442057763525428_n.?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=nTShyg4lJqkQ7kNvwGGnvht&_nc_oc=AdlQFxDmv84zsS1V53F7djAJiIIIDPqdFBhUV3mh-JR8MmUvqHdjjdAzDSRr6z3ADF_oGZKRNeeeNeAIO1P7Z1Qp&_nc_zt=28&_nc_ht=video.fkul8-2.fna&_nc_gid=0FSFvcJm-P7uutgyYv74Xw&oh=00_AfS_SqE8sdebhqdfKiSieZHTYZbFYI8B_zv-4gHxLUJPCA&oe=687DD243,,,167.6,{},{}
AG1,GLOBAL,2025-07-17T02:59:46.174912,"AG1 by Athletic Greens
Sponsored
Struggling with bloating or gut discomfort? AG1 Next Gen is now clinically backed and features new probiotic strains and prebiotics designed to nourish your gut.

🦠 Clinically studied probiotics to support gut health
⚡ Upgraded formula for absorption
💚 Fills common nutrient gaps
🥄 One scoop a day = simple, effective

Your gut reboot starts with these FREE extras:
✔️ 5 Upgraded Travel Packs
✔️ FREE Bottle Vitamin D3+K2 Drops
✔️ FREE Shaker + Canister

† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. For more information, visit our website.
Next-Gen Gut Health Starts Here
50k verified 5-star reviews for AG1 products
Shop Now",2,https://scontent.fkul8-5.fna.fbcdn.net/v/t39.35426-6/506949015_719446223890310_4997542307608895786_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=-_MuHUMTzHIQ7kNvwE-MG8R&_nc_oc=AdlwIUPBbdRh5rz1wJk4ic65fQPP4zAoABMx9KUF5H8IqEJjpqJwyzBeJDfK0oTc0jg7yhThvHu7Hs-Ek8FjAc6E&_nc_zt=14&_nc_ht=scontent.fkul8-5.fna&_nc_gid=Baxg7rnG5um4GsTIT41jjg&oh=00_AfRWq3g5Anu9KfGyaWFzE3u2OPo1Hj70eXVP8a7Q0b42_Q&oe=687DCE39|https://scontent.fkul8-3.fna.fbcdn.net/v/t39.35426-6/507123189_605624268650433_35724624560320428_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=fumtJ7eaopoQ7kNvwFgyyRX&_nc_oc=Adlex-QpVlvf2WeKC5rrJ3_ohP8G0yf27r6n-VlZg6E48MCUoFDViqaxO2cN9hsBmHgq9oc0amF_a9yy6k25HD7U&_nc_zt=14&_nc_ht=scontent.fkul8-3.fna&_nc_gid=Baxg7rnG5um4GsTIT41jjg&oh=00_AfQ-60xwHnmywTAWxMPKWfDFAMXk4SgpJxR61YibhyZPgA&oe=687DC4C3,,,166.0,{},{}
AG1,GLOBAL,2025-07-17T02:59:46.211704,"AG1 by Athletic Greens
Sponsored
Struggling with bloating or gut discomfort? AG1 Next Gen is now clinically backed and features new probiotic strains and prebiotics designed to nourish your gut.

🦠 Clinically studied probiotics to support gut health
⚡ Upgraded formula for absorption
💚 Fills common nutrient gaps
🥄 One scoop a day = simple, effective

Your gut reboot starts with these FREE extras:
✔️ 5 Upgraded Travel Packs
✔️ FREE Bottle Vitamin D3+K2 Drops
✔️ FREE Shaker + Canister

† Based on clinical studies in healthy adults ages 18–59, evaluating nutrient biomarkers, microbiome shifts, and bioavailability. Study designs and durations varied. For more information, visit our website.
Next-Gen Gut Health Starts Here
50k verified 5-star reviews for AG1 products
Shop Now",2,https://scontent.fkul8-5.fna.fbcdn.net/v/t39.35426-6/505921871_1979754409432880_8767902189475470874_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=h6_VM95zqagQ7kNvwHuQuZh&_nc_oc=AdmdYl8-XIIbK1x5-nVCds_-XTUzBhdc1dBzQngcCdrbNmE92dyEM3HgZji5DL5fcKFKQUO6cUfTLCMhVrOyeOmG&_nc_zt=14&_nc_ht=scontent.fkul8-5.fna&_nc_gid=Baxg7rnG5um4GsTIT41jjg&oh=00_AfTXJ38IL8l5B8TmMibScQMHl1TaW-zbB8n-BNAVfUMuHg&oe=687DBDF9|https://scontent.fkul8-5.fna.fbcdn.net/v/t39.35426-6/506424649_4245818332408267_5547828579366767623_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=s-0tK1luOGwQ7kNvwEltgED&_nc_oc=Adkhh_luNEuESD3aDtWo-1_jf3lYzQhWGrHR0W8jR6HhF7gkRujrUAOgKbwoUguCfXSKncQGUHYWzL2FH-wXgkP-&_nc_zt=14&_nc_ht=scontent.fkul8-5.fna&_nc_gid=Baxg7rnG5um4GsTIT41jjg&oh=00_AfTivID_brOV91uIHf5cY4nkV0Y7tkrAvqoeJHSnzi8l2A&oe=687DD64C,,,166.0,{},{}
